ID,label
2005,0
2384,0
3526,0
3926,0
7222,0
7420,0
9627,1
9859,0
11611,0
11631,1
12842,0
16208,0
20175,0
22550,0
24365,0
24471,0
25195,0
26618,0
27672,1
27765,0
29187,0
29265,1
29557,0
30325,1
32634,0
34564,0
34914,0
37048,1
37637,1
40763,0
40811,1
40960,0
41003,0
41695,1
42119,1
43766,1
44465,0
45286,0
46060,0
47638,0
49171,0
52069,1
52495,0
52813,0
53023,0
54161,1
54501,0
54592,1
55962,1
56734,1
57953,1
60411,1
61101,0
61216,0
62543,0
63903,0
65509,0
66116,0
66230,0
66275,0
66613,1
66670,1
67989,0
68018,1
68563,0
69638,1
70259,0
71098,0
71275,1
71790,0
75193,0
75687,1
76139,0
78329,0
79109,0
79340,0
79739,0
80533,0
83032,0
83053,0
83242,0
83799,0
84337,0
84849,0
85479,0
85563,0
86333,0
86779,0
87526,0
88413,0
91169,1
96080,0
97183,1
97513,0
97741,1
98448,0
99211,0
99952,1
99965,0
100340,0
105118,0
105361,0
105731,1
107250,0
107490,0
108421,0
109842,1
110309,1
112049,1
112458,1
112761,0
116870,0
117043,0
118062,0
118378,0
119037,1
119378,0
121290,0
122252,0
122453,0
123770,0
129053,0
130454,1
131597,0
131700,0
132729,1
134061,0
134442,1
134871,1
136424,1
138480,0
138544,1
139336,0
139588,1
139789,1
140214,1
140648,0
141264,1
141517,1
141819,1
143393,1
145649,0
145719,1
148099,1
148843,1
151056,1
155737,1
156100,0
158790,1
159479,0
161158,1
161320,1
163009,1
163273,1
163997,1
164535,1
165650,1
166663,1
167467,1
167637,1
169811,1
169837,1
170927,1
171233,1
173578,1
174274,1
174607,1
174791,0
183815,1
184410,1
185613,1
185833,1
186286,1
186346,1
189038,1
189150,1
189423,0
190456,1
190835,0
191517,1
193571,0
195816,0
199300,0
199515,0
199760,0
200033,1
200702,1
201373,1
201500,0
202161,0
202271,0
203258,1
203414,0
203855,0
204761,1
205163,0
205496,1
206450,1
207117,1
208035,1
212954,1
214339,0
214598,0
214985,1
218009,1
218026,1
222425,1
222849,1
223435,1
223446,0
224187,1
225870,1
229656,0
229657,1
232103,0
233786,0
234835,0
235266,1
235501,1
236290,1
236340,0
236920,1
237647,0
237859,0
238678,1
239494,1
242008,1
242635,1
242676,1
243686,1
244344,0
245677,1
245830,1
246013,0
246785,1
248454,0
250049,0
251851,0
252182,1
254212,0
254861,1
257349,0
258732,1
259046,0
259811,1
260544,1
262959,1
266436,1
267076,1
268445,1
269607,1
272812,0
273397,1
274953,1
275659,0
277529,1
277953,1
279226,0
279909,0
281861,1
283130,1
283385,0
283415,1
284939,1
285060,1
286549,1
286665,1
287592,1
288204,0
289541,1
290087,1
290871,1
291200,1
292440,0
294380,1
299439,1
299667,0
299826,1
300746,0
302860,0
304241,0
305126,1
305212,0
305302,1
305720,1
308114,0
309233,1
309341,1
309663,1
309756,1
311397,0
313746,0
314431,1
315158,0
315863,1
316511,0
317734,1
320019,1
321007,0
321323,1
324010,1
325882,1
326292,0
326565,1
329024,1
332641,0
333153,1
333384,1
333646,0
335147,1
336578,0
337219,1
338195,1
338445,0
339480,0
340612,0
341502,0
342167,1
342485,0
344119,0
345513,0
346562,0
348103,1
350169,1
350552,1
351169,1
351788,0
352096,1
352622,1
353417,0
354534,1
356612,1
357319,0
363355,0
366202,0
367445,0
369174,0
369500,1
369761,1
370138,1
370193,1
370560,0
370904,1
371186,1
372173,1
372304,1
372873,0
373394,0
375064,0
375205,0
377887,0
378904,1
381252,0
382298,0
382588,1
383258,0
386265,1
386839,1
388823,0
389002,1
389542,1
391084,1
391369,1
391433,0
392735,1
393028,1
395209,1
395651,1
396977,0
397226,0
397521,1
397985,1
398057,0
399176,0
400068,0
400294,1
400851,0
401335,1
401769,0
405585,0
409065,0
410404,1
410839,1
411861,0
412253,0
414331,1
415990,1
416589,1
422296,0
422308,0
422879,0
423039,1
423725,1
423888,1
424454,0
425730,0
426962,1
428374,1
428819,1
429610,1
430386,0
430738,1
432336,1
432731,1
434447,1
437869,1
438459,0
439342,1
439555,1
439843,1
440156,1
441881,1
443594,1
446317,1
446353,0
447569,0
449123,1
450267,0
452081,1
453123,1
455245,0
455630,0
456848,1
457243,1
457781,1
458442,1
459210,0
459340,1
459836,1
460092,0
460412,1
462351,1
464909,0
465699,1
468354,0
470743,1
473061,1
474370,1
477281,0
477827,1
479195,0
480003,0
480157,0
480169,1
480258,1
481310,1
482495,1
483499,1
483533,0
484106,0
484300,0
488058,0
489412,1
490175,1
490475,1
491942,0
493056,1
493518,1
494085,0
494890,0
496139,1
497791,0
498100,1
501408,1
503328,0
503801,0
505006,1
505181,1
507196,0
507325,1
509268,1
509487,1
509788,1
514031,1
516086,0
517970,1
519222,1
520424,1
521674,1
522143,0
524108,1
525201,0
525323,0
526203,0
526863,0
527668,1
529557,1
530422,0
530512,1
536133,0
537182,0
538592,0
540812,1
542503,1
545186,1
545431,0
546425,0
552264,0
555826,1
555956,0
557383,1
557796,0
557889,0
563381,1
564101,1
566588,1
566913,0
567165,1
568526,1
568692,1
568714,1
570984,1
571304,0
571359,0
573095,0
576252,0
577562,1
579771,1
580521,0
581902,0
584066,1
584216,1
584299,1
585728,0
586144,1
587090,1
587625,0
591069,0
591318,0
592737,1
595696,1
595988,1
596176,0
597566,1
598801,1
598853,1
599018,0
600238,1
601093,1
601460,1
601482,1
604047,1
604421,1
604692,1
607877,1
608831,0
609205,0
610311,1
610795,0
611182,1
611440,0
612619,0
613558,0
614912,0
614980,1
616197,1
616233,1
617889,1
618439,1
619051,0
620102,1
620590,1
621760,1
623291,1
626482,0
626710,0
628331,0
628405,1
629059,1
629121,1
629590,1
630897,0
631102,1
631249,0
631811,1
633020,1
633612,1
634438,0
635606,0
636612,1
638098,0
639785,1
640290,1
640674,0
643084,1
643775,1
643919,1
644484,0
646401,1
646558,0
647392,1
648373,1
655268,1
655444,1
656563,0
657371,1
657824,0
658062,1
659610,1
659785,0
660788,1
661509,0
661960,1
662729,0
663204,1
664911,0
665436,0
665741,1
667517,1
667779,1
668199,0
668209,1
668468,0
668477,0
670004,0
670049,1
671365,0
671587,1
671934,1
675453,0
676521,1
676561,1
676843,1
677095,1
678146,1
678744,0
679587,1
680491,0
682336,1
682663,1
683587,1
685299,0
685567,0
687503,0
688444,0
689642,1
691689,1
692661,1
694890,1
695084,0
696063,1
698251,0
699818,0
699847,0
700148,1
700410,1
700758,0
701036,1
702530,1
703398,1
705995,0
706557,0
707740,1
708160,1
709687,1
710068,0
710521,1
711736,0
712184,0
712454,1
714609,1
716940,0
717860,1
719720,1
719942,1
721927,1
722644,1
723603,1
723982,0
725304,0
728638,0
728959,1
729310,0
730117,1
731285,0
731353,1
731760,0
732561,1
733130,1
734166,0
735317,0
735545,0
735647,0
736012,1
737541,1
738207,1
739069,0
739128,1
739207,1
739553,0
742658,1
743161,0
744798,0
744865,0
745335,0
745950,0
747025,0
750281,1
751486,0
753268,0
753869,0
756005,0
756036,1
756464,1
757197,1
757219,1
757695,0
757974,0
763730,1
764130,1
764242,0
766430,0
766461,1
767963,1
768395,0
769997,0
770482,1
770799,0
772405,1
773206,0
775317,0
776393,1
777238,1
778973,0
780965,1
781969,0
782390,1
782734,1
785570,1
786355,1
786487,0
788140,1
788789,1
789168,1
789425,1
790197,1
792351,1
793216,0
794848,0
797689,1
798123,0
798663,0
800013,0
800642,0
800930,0
801519,0
802865,0
803256,0
805057,1
805903,0
808383,0
809025,1
813598,0
814785,0
815614,1
817969,0
818344,1
818526,1
819412,1
